Virksomhed;Navn;Type;Status;Undtag
53475116;Trend Skov;6;1;N
53506119;Fyens Stift;5;1;N
53578217;Dalum Landbrugsskole;4;1;N
54092415;Haderslev Handelsskole;4;1;N
54933614;Lyngby Friskole;5;1;N
55145016;De Nationale Geologiske Undersøgelser for Danmark og Grønland;1;1;N
55494312;Folketinget;1;1;N
55568510;Styrelsen for arbejdsmarked og Rekruttering;1;1;N
55798516;Designmuseum Danmark;5;1;N
55960410;Hansenberg;4;1;N
56004114;Bygholm Landbrugsskole;4;1;N
56776214;Beredskabsforbundet;6;1;N
56858318;Det Danske Filminstitut;1;1;N
57244615;Ribe Stift;5;1;N
57507314;Sorø Akademis Skole;1;1;N
58182516;Bygningsstyrelsen;1;1;N
58345628;Håndværker-Skolehjemmet i København;4;1;N
59151517;Det Kgl. Danske Musikkonservatorium;1;1;N
59190628;Dansk Sprognævn;1;1;N
59743228;By-, Land- og Kirkeministeriet, Departementet;1;1;N
59778714;Energistyrelsen;1;1;N
60013713;Lolland-Falsters Stift;5;1;N
60208212;Rigsarkivet;1;1;N
60729018;Vejdirektoratet;1;1;N
60798419;Niels Brock, Copenhagen Business College;4;1;N
61092919;Danmarks Nationalbank;6;1;N
61552812;Lønmodtagernes Dyrtidsfond;6;1;N
61841628;Frederikshavn Handelsskole;4;1;N
62534516;Fødevarestyrelsen;1;1;N
62965916;Geodatastyrelsen;1;1;N
63239011;Vestervig Kirkemusikskole;5;1;N
63310417;Statens Museum for Kunst;1;1;N
63504416;U/Nord S/I;4;1;N
63717711;Nørrebro Gymnasium S/I;5;1;N
63941611;Niels Steensens Gymnasium;5;1;N
64174614;Den Hirschsprungske Samling;1;1;N
64305018;Svendborg Søfartsskole;4;1;N
64942212;Københavns Kommune;6;1;J
65591812;H M Dronning Margrethe;6;1;N
66294110;Learnmark Horsens;4;1;N
67117514;Ordrupgaard;1;1;N
67855019;Kulturministeriet, Departementet;1;1;N
68187028;Løgumkloster Kirkemusikskole;5;1;N
68501113;EUC Lillebælt;4;1;N
68724813;Nordjyllands Landbrugsskole;4;1;N
70771128;MARTEC - Maritime and Polytechnic University College;4;1;N
70876116;Bagsværd Kostskole og Gymnasium;5;1;N
71971910;Danmarks Nationalbanks Pensionskasse;6;1;N
77806113;Rigsrevisionen;1;1;N
77940413;Udlændingestyrelsen;1;1;N
78143118;København Stift;5;1;N
82269118;Det Grønne Museum;1;1;N
86572028;Kold college;4;1;N
90196359;De Økonomiske Råd;1;1;N
99990007;Kongen;1;3;J
99990015;Medlemmer af det kongelige hus;1;3;J
99990047;Finansministeriets reserver og beholdningsbevægelser vedr. §§ 35, 41 og 42;1;3;N
99990799;Finansministeriets selvejende institutioner;5;3;N
